country,city,"Total Customers"
UK,London,6
Mexico,"México D.F.",5
Brazil,"Sao Paulo",4
Argentina,"Buenos Aires",3
Brazil,"Rio de Janeiro",3
Spain,Madrid,3
France,Nantes,2
Portugal,Lisboa,2
USA,Portland,2
France,Paris,2
Germany,Mannheim,1
France,Strasbourg,1
France,Marseille,1
Canada,Tsawassen,1
Switzerland,Bern,1
Germany,Aachen,1
Austria,Graz,1
France,Lille,1
Sweden,Bräcke,1
Germany,München,1
Italy,Torino,1
Spain,Barcelona,1
Spain,Sevilla,1
Brazil,Campinas,1
USA,Eugene,1
Venezuela,Caracas,1
Venezuela,"San Cristóbal",1
USA,Elgin,1
Ireland,Cork,1
UK,Cowes,1
Germany,Brandenburg,1
France,Versailles,1
France,Toulouse,1
Canada,Vancouver,1
USA,"Walla Walla",1
Germany,"Frankfurt a.M.",1
USA,"San Francisco",1
Venezuela,Barquisimeto,1
Venezuela,"I. de Margarita",1
Germany,Berlin,1
Italy,Bergamo,1
Belgium,Bruxelles,1
Canada,Montréal,1
Germany,Leipzig,1
USA,Anchorage,1
Germany,Köln,1
Sweden,Luleå,1
Austria,Salzburg,1
Germany,Cunewalde,1
USA,Albuquerque,1
Italy,"Reggio Emilia",1
Switzerland,Genève,1
Norway,Stavern,1
USA,Boise,1
Denmark,Kobenhavn,1
USA,Lander,1
Belgium,Charleroi,1
USA,Butte,1
Germany,Münster,1
USA,Kirkland,1
Denmark,Århus,1
France,Lyon,1
France,Reims,1
Germany,Stuttgart,1
Finland,Oulu,1
Brazil,Resende,1
USA,Seattle,1
Finland,Helsinki,1
Poland,Warszawa,1
