customer_id,company_name,region
ALFKI,Alfreds Futterkiste,NULL
BOTTM,Bottom-Dollar Markets,BC
COMMI,Comércio Mineiro,SP
GREAL,Great Lakes Food Market,OR
GROSR,GROSELLA-Restaurante,DF
HANAR,Hanari Carnes,RJ
HILAA,HILARION-Abastos,Táchira
HUNGO,Hungry Owl All-Night Grocers,Co. Cork
ISLAT,Island Trading,Isle of Wight
LAZYK,Lazy K Kountry Store,WA
LETSS,Let's Stop N Shop,CA
LILAS,LILA-Supermercado,Lara
LINOD,LINO-Delicateses,Nueva Esparta
MEREP,Mère Paillarde,Québec
OLDWO,Old World Delicatessen,AK
RATTC,Rattlesnake Canyon Grocery,NM
SAVEA,Save-a-lot Markets,ID
SPLIR,Split Rail Beer & Ale,WY
THECR,The Cracker Box,MT
